S 600aa0,1 set_id 0(1 56) miss
S 7ff000398,8 set_id 3(-112 0) miss
S 7ff000390,8 set_id 2(0 0) miss
S 7ff000378,8 set_id 3(1 0) miss
S 7ff000370,8 set_id 2(1 0) miss
S 7ff000384,4 set_id 0(1 1) miss eviction
L 7ff000384,4 set_id 0 hit
S 7ff000388,4 set_id 1(0 -112) miss
L 7ff000388,4 set_id 1 hit
L 7ff000384,4 set_id 0 hit
L 7ff000378,8 set_id 3 hit
L 7ff000388,4 set_id 1 hit
L 600a20,4 set_id 0(1 1) miss eviction
S 7ff00038c,4 set_id 1 hit
L 7ff000388,4 set_id 1 hit
L 7ff000370,8 set_id 2 hit
L 7ff000384,4 set_id 0 hit
L 7ff00038c,4 set_id 1 hit
S 600a60,4 set_id 0(1 1) miss eviction
M 7ff000388,4 set_id 1 hit hit
L 7ff000388,4 set_id 1 hit
L 7ff000384,4 set_id 0 hit
L 7ff000378,8 set_id 3 hit
L 7ff000388,4 set_id 1 hit
L 600a24,4 set_id 0(1 1) miss eviction
S 7ff00038c,4 set_id 1 hit
L 7ff000388,4 set_id 1 hit
L 7ff000370,8 set_id 2 hit
L 7ff000384,4 set_id 0 hit
L 7ff00038c,4 set_id 1 hit
S 600a70,4 set_id 2(1 1) miss eviction
M 7ff000388,4 set_id 1 hit hit
L 7ff000388,4 set_id 1 hit
L 7ff000384,4 set_id 0 hit
L 7ff000378,8 set_id 3 hit
L 7ff000388,4 set_id 1 hit
L 600a28,4 set_id 1(1 -112) miss
S 7ff00038c,4 set_id 1 hit
L 7ff000388,4 set_id 1 hit
L 7ff000370,8 set_id 2 hit
L 7ff000384,4 set_id 0 hit
L 7ff00038c,4 set_id 1 hit
S 600a80,4 set_id 0(1 1) miss eviction
M 7ff000388,4 set_id 1 hit hit
L 7ff000388,4 set_id 1 hit
L 7ff000384,4 set_id 0 hit
L 7ff000378,8 set_id 3 hit
L 7ff000388,4 set_id 1 hit
L 600a2c,4 set_id 1 hit
S 7ff00038c,4 set_id 1 hit
L 7ff000388,4 set_id 1 hit
L 7ff000370,8 set_id 2 hit
L 7ff000384,4 set_id 0 hit
L 7ff00038c,4 set_id 1 hit
S 600a90,4 set_id 2(1 1) miss eviction
M 7ff000388,4 set_id 1 hit hit
L 7ff000388,4 set_id 1 hit
M 7ff000384,4 set_id 0 hit hit
L 7ff000384,4 set_id 0 hit
S 7ff000388,4 set_id 1 hit
L 7ff000388,4 set_id 1 hit
L 7ff000384,4 set_id 0 hit
L 7ff000378,8 set_id 3 hit
L 7ff000388,4 set_id 1 hit
L 600a30,4 set_id 2(1 1) miss eviction
S 7ff00038c,4 set_id 1 hit
L 7ff000388,4 set_id 1 hit
L 7ff000370,8 set_id 2(1 1) miss eviction
L 7ff000384,4 set_id 0 hit
L 7ff00038c,4 set_id 1 hit
S 600a64,4 set_id 0(1 1) miss eviction
M 7ff000388,4 set_id 1 hit hit
L 7ff000388,4 set_id 1 hit
L 7ff000384,4 set_id 0 hit
L 7ff000378,8 set_id 3 hit
L 7ff000388,4 set_id 1 hit
L 600a34,4 set_id 2 hit
S 7ff00038c,4 set_id 1 hit
L 7ff000388,4 set_id 1 hit
L 7ff000370,8 set_id 2 hit
L 7ff000384,4 set_id 0 hit
L 7ff00038c,4 set_id 1 hit
S 600a74,4 set_id 2(1 1) miss eviction
M 7ff000388,4 set_id 1 hit hit
L 7ff000388,4 set_id 1 hit
L 7ff000384,4 set_id 0 hit
L 7ff000378,8 set_id 3 hit
L 7ff000388,4 set_id 1 hit
L 600a38,4 set_id 3(1 1) miss eviction
S 7ff00038c,4 set_id 1 hit
L 7ff000388,4 set_id 1 hit
L 7ff000370,8 set_id 2 hit
L 7ff000384,4 set_id 0 hit
L 7ff00038c,4 set_id 1 hit
S 600a84,4 set_id 0(1 1) miss eviction
M 7ff000388,4 set_id 1 hit hit
L 7ff000388,4 set_id 1 hit
L 7ff000384,4 set_id 0 hit
L 7ff000378,8 set_id 3 hit
L 7ff000388,4 set_id 1 hit
L 600a3c,4 set_id 3 hit
S 7ff00038c,4 set_id 1 hit
L 7ff000388,4 set_id 1 hit
L 7ff000370,8 set_id 2 hit
L 7ff000384,4 set_id 0 hit
L 7ff00038c,4 set_id 1 hit
S 600a94,4 set_id 2(1 1) miss eviction
M 7ff000388,4 set_id 1 hit hit
L 7ff000388,4 set_id 1 hit
M 7ff000384,4 set_id 0 hit hit
L 7ff000384,4 set_id 0 hit
S 7ff000388,4 set_id 1 hit
L 7ff000388,4 set_id 1 hit
L 7ff000384,4 set_id 0 hit
L 7ff000378,8 set_id 3 hit
L 7ff000388,4 set_id 1 hit
L 600a40,4 set_id 0(1 1) miss eviction
S 7ff00038c,4 set_id 1 hit
L 7ff000388,4 set_id 1 hit
L 7ff000370,8 set_id 2 hit
L 7ff000384,4 set_id 0 hit
L 7ff00038c,4 set_id 1 hit
S 600a68,4 set_id 1(1 1) miss eviction
M 7ff000388,4 set_id 1 hit hit
L 7ff000388,4 set_id 1 hit
L 7ff000384,4 set_id 0 hit
L 7ff000378,8 set_id 3 hit
L 7ff000388,4 set_id 1 hit
L 600a44,4 set_id 0 hit
S 7ff00038c,4 set_id 1 hit
L 7ff000388,4 set_id 1 hit
L 7ff000370,8 set_id 2 hit
L 7ff000384,4 set_id 0 hit
L 7ff00038c,4 set_id 1 hit
S 600a78,4 set_id 3(1 1) miss eviction
M 7ff000388,4 set_id 1 hit hit
L 7ff000388,4 set_id 1 hit
L 7ff000384,4 set_id 0 hit
L 7ff000378,8 set_id 3 hit
L 7ff000388,4 set_id 1 hit
L 600a48,4 set_id 1(1 1) miss eviction
S 7ff00038c,4 set_id 1 hit
L 7ff000388,4 set_id 1 hit
L 7ff000370,8 set_id 2 hit
L 7ff000384,4 set_id 0 hit
L 7ff00038c,4 set_id 1 hit
S 600a88,4 set_id 1(1 1) miss eviction
M 7ff000388,4 set_id 1 hit hit
L 7ff000388,4 set_id 1 hit
L 7ff000384,4 set_id 0 hit
L 7ff000378,8 set_id 3 hit
L 7ff000388,4 set_id 1 hit
L 600a4c,4 set_id 1(1 1) miss eviction
S 7ff00038c,4 set_id 1 hit
L 7ff000388,4 set_id 1 hit
L 7ff000370,8 set_id 2 hit
L 7ff000384,4 set_id 0 hit
L 7ff00038c,4 set_id 1 hit
S 600a98,4 set_id 3(1 1) miss eviction
M 7ff000388,4 set_id 1 hit hit
L 7ff000388,4 set_id 1 hit
M 7ff000384,4 set_id 0 hit hit
L 7ff000384,4 set_id 0 hit
S 7ff000388,4 set_id 1 hit
L 7ff000388,4 set_id 1 hit
L 7ff000384,4 set_id 0 hit
L 7ff000378,8 set_id 3 hit
L 7ff000388,4 set_id 1 hit
L 600a50,4 set_id 2(1 1) miss eviction
S 7ff00038c,4 set_id 1 hit
L 7ff000388,4 set_id 1 hit
L 7ff000370,8 set_id 2 hit
L 7ff000384,4 set_id 0 hit
L 7ff00038c,4 set_id 1 hit
S 600a6c,4 set_id 1(1 1) miss eviction
M 7ff000388,4 set_id 1 hit hit
L 7ff000388,4 set_id 1 hit
L 7ff000384,4 set_id 0 hit
L 7ff000378,8 set_id 3 hit
L 7ff000388,4 set_id 1 hit
L 600a54,4 set_id 2 hit
S 7ff00038c,4 set_id 1 hit
L 7ff000388,4 set_id 1 hit
L 7ff000370,8 set_id 2 hit
L 7ff000384,4 set_id 0 hit
L 7ff00038c,4 set_id 1 hit
S 600a7c,4 set_id 3(1 1) miss eviction
M 7ff000388,4 set_id 1 hit hit
L 7ff000388,4 set_id 1 hit
L 7ff000384,4 set_id 0 hit
L 7ff000378,8 set_id 3 hit
L 7ff000388,4 set_id 1 hit
L 600a58,4 set_id 3(1 1) miss eviction
S 7ff00038c,4 set_id 1 hit
L 7ff000388,4 set_id 1 hit
L 7ff000370,8 set_id 2 hit
L 7ff000384,4 set_id 0 hit
L 7ff00038c,4 set_id 1 hit
S 600a8c,4 set_id 1(1 1) miss eviction
M 7ff000388,4 set_id 1 hit hit
L 7ff000388,4 set_id 1 hit
L 7ff000384,4 set_id 0 hit
L 7ff000378,8 set_id 3 hit
L 7ff000388,4 set_id 1 hit
L 600a5c,4 set_id 3 hit
S 7ff00038c,4 set_id 1 hit
L 7ff000388,4 set_id 1 hit
L 7ff000370,8 set_id 2 hit
L 7ff000384,4 set_id 0 hit
L 7ff00038c,4 set_id 1 hit
S 600a9c,4 set_id 3(1 1) miss eviction
M 7ff000388,4 set_id 1 hit hit
L 7ff000388,4 set_id 1 hit
M 7ff000384,4 set_id 0 hit hit
L 7ff000384,4 set_id 0 hit
L 7ff000390,8 set_id 2(1 1) miss eviction
L 7ff000398,8 set_id 3(1 1) miss eviction
L 600aa0,1 set_id 0(1 1) miss eviction
hits:201 misses:37 evictions:30
